Datos	-Varianza	Promedio	+Varianza	
ASM	852685.387185 907903.0 963120.612815
00	16349199.6622 18963042.0 21576884.3378
01	5509934.30098 6353103.0 7196271.69902
02	5286760.19894 6170065.0 7053369.80106
03	1881125.14965 1983637.0 2086148.85035
