Datos	-Varianza	Promedio	+Varianza	
ASM	27465830.8401 29955629.0 32445427.1599
00	273202216.337 273953961.0 274705705.663
01	65780129.7812 66634212.0 67488294.2188
02	46116061.261 51530443.0 56944824.739
03	35912888.8521 37286116.0 38659343.1479
