Implementacion	ASM 00 01 02 03 
-Varianza	1249653.38419 31298676.1514 21543971.4435 22119993.0527 20949750.1133 
Promedio	1286426.000000 32126148.000000 22363666.000000 22728922.000000 22300207.000000 
+Varianza	1323198.61581 32953619.8486 23183360.5565 23337850.9473 23650663.8867 
