Implementacion	ASM 00 01 02 03 
-Varianza	2115554.65047 17772049.346 17945139.2551 17564605.61 17546801.2155 
Promedio	2175590.000000 20311961.000000 20563352.000000 20093628.000000 20012238.000000 
+Varianza	2235625.34953 22851872.654 23181564.7449 22622650.39 22477674.7845 
