Implementacion	ASM 00 01 02 03 
-Varianza	27079214.9132 274605232.768 262850357.154 268881221.64 270695569.567 
Promedio	29110534.000000 276034960.000000 274466925.000000 273661174.000000 273367230.000000 
+Varianza	31141853.0868 277464687.232 286083492.846 278441126.36 276038890.433 
