Implementacion	ASM 00 01 02 03 
-Varianza	9108284.40159 96049520.8043 91994515.9319 92353620.9257 92408298.9646 
Promedio	10538286.000000 97289994.000000 96711896.000000 98202299.000000 98065380.000000 
+Varianza	11968287.5984 98530467.1957 101429276.068 104050977.074 103722461.035 
