Implementacion	ASM 00 01 02 03 
-Varianza	1193515.28344 10870949.6828 11115247.3365 12120752.8942 11050545.8454 
Promedio	1214570.000000 13825554.000000 13890594.000000 12204617.000000 12259525.000000 
+Varianza	1235624.71656 16780158.3172 16665940.6635 12288481.1058 13468504.1546 
