Datos	-Varianza	Promedio	+Varianza	
ASM	880790.211749 1672314.0 2463837.78825
00	22633694.8903 25612899.0 28592103.1097
01	8258716.40973 9226858.0 10194999.5903
02	8872561.87365 10663035.0 12453508.1264
03	2669351.13744 2715935.0 2762518.86256
