Implementacion	ASM 00 01 02 03 
-Varianza	7928282.08726 97867586.476 51597948.8728 46662425.6679 44945432.9517
Promedio	132439.912745 254319.523954 6266379.127180 258507.332051 4379477.048284 
+Varianza	132439.912745 254319.523954 6266379.127180 258507.332051 4379477.048284 
