Implementacion	ASM 00 01 02 03 
-Varianza	27465830.8401 273202216.337 65780129.7812 46116061.261 35912888.8521 
Promedio	2489798.159923 751744.663308 854082.218774 5414381.738980 1373227.147864 
+Varianza	2489798.159923 751744.663308 854082.218774 5414381.738980 1373227.147864 
