Implementacion	ASM 00 01 02 03 
-Varianza	852685.387185 16349199.6622 5509934.30098 5286760.19894 1881125.14965 
Promedio	907903.000000 18963042.000000 6353103.000000 6170065.000000 1983637.000000 
+Varianza	963120.612815 21576884.3378 7196271.69902 7053369.80106 2086148.85035 
